Facility Name,Full Address,Parish,Subprogram Code
Genesis Learning Center,"902 E. Hwy 30 
Gonzales, LA 70737",Ascension,Early Learning Center III
Gentilly East Head Start/ Early Head Start,"4347 Reynes Street 
New Orleans, LA 70126",Orleans,Early Learning Center III
George Cottage at St. Martin's Episcopal,"225 Green Acres Rd 
Metairie, LA 70003",Jefferson,Early Learning Center II
George Washington Carver Early Learning Center,"337 Gum Street 
Hahnville, LA 70057",St. Charles,Early Learning Center III
Gethsemane LaPetite Early Childhood Development Center,"701 E. Pinhook Rd. 
Lafayette, LA 70501",Lafayette,Early Learning Center III
Gibson Head Start,"5575 Bayou Black Drive 
Gibson, LA 70356",Terrebonne,Early Learning Center III
Gifted Early Learning Academy,"831 E Broussard Road 
Lafayette, LA 70508",Lafayette,Early Learning Center II
"Giggles & Grins, Inc","24 Professional Drive 
Houma, LA 70360",Terrebonne,Early Learning Center III
Giggles and Hugs Learning Center,"185 Barron Road 
Pollock, LA 71467",Grant,Early Learning Center III
"Giggles Child Development Center, LLC","1539 Bartholomew Street 
New Orleans, LA 70117",Orleans,Early Learning Center III
Gilda's Preschool Academy,"7653 Lacombe Street 
New Orleans, LA 70127",Orleans,Early Learning Center III
Gingerbread House Creative Learning Center,"517 Vicnair St. 
New Iberia, LA 70563",Iberia,Early Learning Center II
Gingerbread House of New Iberia Inc,"606 Rue De Lion 
New Iberia, LA 70563",Iberia,Early Learning Center II
Glad Tidings Preschool,"3400 Texas Street 
Lake Charles, LA 70607",Calcasieu,Early Learning Center II
"Glory Angels, LLC","9912 Wilcox Street 
Saint Francisville, LA 70775",West Feliciana,Early Learning Center III
God's Future Scholars Christian Childcare,"505 Park Avenue 
Opelousas, LA 70570",St. Landry,Early Learning Center III
God's Promises Preschool,"150 Highway 3185 
Thibodaux, LA 70301",Terrebonne,Early Learning Center I
Gods Lil Angels Child Development Center,"3232 Lanier Drive 
Baton Rouge, LA 70814",East Baton Rouge,Early Learning Center III
Goldilocks Child Care Center,"2324 Manson Avenue 
Metairie, LA 70001",Jefferson,Early Learning Center III
Goldman School Child Development Center,"351 Jordan Street 
Shreveport, LA 71101",Caddo,Early Learning Center III
Good Shepherd Early Learning Center,"32948 LA Hwy 16 
Denham Springs, LA 70706",Livingston,Early Learning Center II
Grace Episcopal Church Preschool,"11621 Ferdinand Street 
Saint Francisville, LA 70775",West Feliciana,Early Learning Center I
Grace Learning Center,"885 South Nickens Avenue 
Gonzales, LA 70737",Ascension,Early Learning Center III
Grace Lutheran Early Childhood Center,"422 Valhi Blvd 
Houma, LA 70360",Terrebonne,Early Learning Center I
Grace Yellow House,"501 Erin Avenue 
Monroe, LA 71201",Ouachita,Early Learning Center I
Gran's Learning Center,"317 Rainbow Drive 
Pineville , LA 71360",Rapides,Early Learning Center III
Grand Lake Head Start,"10100 Gulf Hwy 
Lake Charles, LA 70607",Cameron,Early Learning Center III
Grandma's Arms Child Care and Development Center,"3095 Phelps Rd 
Shreveport, LA 71107",Caddo,Early Learning Center III
"Grandma's Touch Child Care Center, LLC","3520 Frenchmen Street 
New Orleans, LA 70122",Orleans,Early Learning Center III
Grant Parish Head Start- Graham Center,"1025 Graham Street 
Colfax, LA 71417",Grant,Early Learning Center III
Grant Parish Head Start-Dry Prong Center,"1001 Hwy. 167 
Dry Prong, LA 71423",Grant,Early Learning Center III
Great Start Learning Academy,"900 Walker Road 
Lafayette, LA 70506",Lafayette,Early Learning Center III
Greater Friendship Academy,"5506 Roberts St 
Shreveport, LA 71109",Caddo,Early Learning Center III
Greater King David Baptist Church Nursery Preschool Academy,"7305 Harry Drive 
Baton Rouge, LA 70806",East Baton Rouge,Early Learning Center III
Greater Starlight Baptist Church Kiddie Kollege,"521 West 28th Avenue 
Covington, LA 70433",St. Tammany,Early Learning Center III
Green Apple Academy Daycare,"2701 Manhattan Blvd. 17B 
Harvey, LA 70058",Jefferson,Early Learning Center III
Green Preschool @JCDS,"3747 W. Esplanade 
Metairie, LA 70002",Jefferson,Early Learning Center I
Green Trees Early Childhood  Village,"1820 Soniat Street 
New Orleans, LA 70115",Orleans,Early Learning Center II
Gretna United Methodist Preschool,"1309 Whitney Avenue 
Gretna, LA 70056",Jefferson,Early Learning Center I
Guardian Angel Daycare and Preschool,"17077 Jefferson Hwy 
Baton Rouge, LA 70817",East Baton Rouge,Early Learning Center I
Guardian Angel Kiddie College,"2639 Lee Street 
Alexandria, LA 71301",Rapides,Early Learning Center III
Guchereau Early Childhood Development Center,"609 South College Rd 
Lafayette, LA 70503",Lafayette,Early Learning Center I
Gultery Childcare & Learning Center LLC,"1011 B Ethel Street 
Tallulah, LA 71282",Madison,Early Learning Center III
Hammond Head Start & Early Head Start,"1500 Phoenix Square 
Hammond, LA 70403",Tangipahoa,Early Learning Center III
Happy Days Play School,"3521 Janice Drive 
Ruston, LA 71270",Lincoln,Early Learning Center II
Happy Feet Learning Center,"45616 University Park Ave 
Hammond, LA 70401",Tangipahoa,Early Learning Center I
Hart's Childcare,"400 E. School Street 
Lake Charles, LA 70605",Calcasieu,Early Learning Center II
Hawks' Haven,"616 2nd Avenue 
Harvey, LA 70058",Jefferson,Early Learning Center I
Hayleigh's Childcare Learning and Development Center,"711 11th Street 
Lake Charles, LA 70601",Calcasieu,Early Learning Center III
Haynes and Gale II Child Care Center,"3129 Loyola Dr 
Kenner, LA 70065",Jefferson,Early Learning Center III
Head Start Developmental Center,"1159 Te Mamou Road 
Ville Platte, LA 70586",Evangeline,Early Learning Center III
Heart of Learning Child Development Center,"2301 Paris Road 
Chalmette, LA 70043",St. Bernard,Early Learning Center III
Heart of Learning Child Development Center II,"2319 Paris Road 
Chalmette, LA 70043",St. Bernard,Early Learning Center III
Heavenly Angels Childcare Center,"808 Jerome Loop 
Opelousas, LA 70570",St. Landry,Early Learning Center III
Heavenly Care Child Development Center,"1305 Autumn Orchard Loop 
Alexandria, LA 71303",Rapides,Early Learning Center III
Heavenly Care Child Development Center 2,"2403 Jameson Court 
Alexandria, LA 71303",Rapides,Early Learning Center III
Heavenly Care Child Development Center 3,"5512 Hideaway Drive 
Alexandria, LA 71303",Rapides,Early Learning Center III
Heavens Precious Angels Daycare,"732 West Burton Street 
Sulphur, LA 70663",Calcasieu,Early Learning Center III
Helping Hands Learning Center,"219 E. Lastie st. 
Erath, LA 70533",Vermilion,Early Learning Center II
Henning Memorial United Methodist Childcare Center,"404 South Huntington St. 
Sulphur, LA 70663",Calcasieu,Early Learning Center III
Hersey D. Wilson Head Start,"4055 St. Vincent Ave. 
Shreveport, LA 71108",Caddo,Early Learning Center III
Hickory Day Care Inc,"620 Hickory Avenue 
Harahan, LA 70123",Jefferson,Early Learning Center I
High Expectations Early Learning Center,"2024 Thomas Rd 
Baton Rouge, LA 70807",East Baton Rouge,Early Learning Center III
Hollie Hobby Daycare Center,"301 Aimee Dr 
Carencro, LA 70520",Lafayette,Early Learning Center I
Holmes House Child Care Center,"56511 Breaux Street 
Bayou Goula, LA 70788",Iberville,Early Learning Center III
Holy Family Pre K-3,"415 N Jefferson Avenue 
Port Allen, LA 70767",West Baton Rouge,Early Learning Center I
Holy Family Pre-School,"155 Holy Family Lane 
Luling, LA 70070",St. Charles,Early Learning Center I
Holy Rosary Catholic School,"12925 East Main Street 
Larose, LA 70373",Lafourche,Early Learning Center I
Holy Rosary Head Start,"121 Rosary Street 
Houma, LA 70363",Terrebonne,Early Learning Center III
Holy Savior School,"201 Church Street 
Lockport, LA 70374",Lafourche,Early Learning Center I
Holy Trinity Lutheran Church and School,"1 N. Marigold Drive 
Covington, LA 70433",St. Tammany,Early Learning Center I
Home Away From Home Early Learning Center,"2026 New Natchitoches Road 
West Monroe, LA 71292",Ouachita,Early Learning Center III
Honey Bears Head Start,"1112 Main Street 
Gueydan, LA 70542",Vermilion,Early Learning Center III
Honeybee Childcare and Learning Center,"32850 Bowie Street 
White Castle, LA 70788",Iberville,Early Learning Center III
Honeycomb Preschool,"700 Maris Stella Street 
Slidell, LA 70460",St. Tammany,Early Learning Center III
Hooter Park Head Start,"1519 Hooter Park Drive 
Bossier City, LA 71112",Bossier,Early Learning Center III
Hope Early Head Start Center,"4521 Martin L King Blvd 
New Orleans, LA 70125",Orleans,Early Learning Center III
Horseshoe Drive Methodist Day School,"1600 Horseshoe Drive 
Alexandria, LA 71301",Rapides,Early Learning Center I
Hour Drop-In Child Care,"2011 Florida Ave SW 
Denham Springs, LA 70726",Livingston,Early Learning Center I
Humble Beginnings Child Development Center,"309 East First Street 
Delhi, LA 71232",Richland,Early Learning Center III
Humble Hearts Early Learning Center,"20899 Nevada Street 
Livingston, LA 70754",Livingston,Early Learning Center II
Hummingbird Child Development Center,"1211 Romain St 
Gretna , LA 70053",Jefferson,Early Learning Center III
Humpty Dumtpy Head Start,"479 Bellevue Rd. 
Cotton Valley, LA 71018",Webster,Early Learning Center III
Iberville -Crescent Early Childhood,"62575 Bayou Road 
Plaquemine, LA 70764",Iberville,Early Learning Center III
Iberville MSA East Early Childhood,"1400 Gordon Simon LeBlanc 
St Gabriel, LA 70776",Iberville,Early Learning Center III
Iberville-Dorseyville Early Childhood,"31505 Hwy 1 
White Castle, LA 70788",Iberville,Early Learning Center III
Iberville-East Early Childhood,"3285 Hwy. 75 
St Gabriel, LA 70776",Iberville,Early Learning Center III
Iberville-Iberville Early Childhood,"58650 Iron Farm Road 
Plaquemine, LA 70764",Iberville,Early Learning Center III
Iberville-MSAWest Early Childhood,"57955 St. Louis Road 
Plaquemine, LA 70764",Iberville,Early Learning Center III
Iberville-North Early Childhood,"13770 Hwy. 77 
Rosedale, LA 70772",Iberville,Early Learning Center III
Imagination Station Childcare and Learning Center,"10912 Joor Road 
Baton Rouge, LA 70818",East Baton Rouge,Early Learning Center III
Imagination Station Preschool & Learning Center,"50587 Rivers Rd 
Tickfaw, LA 70466",Tangipahoa,Early Learning Center II
Immaculate Conception Lil Chargers Nursery,"601 Avenue C 
Marrero, LA 70072",Jefferson,Early Learning Center I
Immanuel Christian Early Learning Center,"901 Fig Street 
Morgan City, LA 70380",St. Mary,Early Learning Center I
In Loving Arms Early Learning Center,"6637 N. Foster Drive 
Baton Rouge, LA 70811",East Baton Rouge,Early Learning Center III
In Loving Arms Scholars Academy,"6012 N. Foster 
Baton Rouge, LA 70805",East Baton Rouge,Early Learning Center III
Incarnate Word Head Start,"8326 Apricot Street 
New Orleans, LA 70118",Orleans,Early Learning Center III
It Takes a Village Academy,"3605 Garden Oaks Dr 
New Orleans, LA 70114",Orleans,Early Learning Center III
"Its a Small World Childcare, LLC","2238 8th st 
Lake Charles, LA 70601",Calcasieu,Early Learning Center II
J.D. Clifton Head Start,"100 North Prater Street 
Lake Charles, LA 70601",Calcasieu,Early Learning Center III
J.F. Kennedy Head Start,"2001 Russell St. 
Lake Charles , LA 70601",Calcasieu,Early Learning Center III
J.I. Watson Elementary Head Start,"201 East First Street 
Iowa, LA 70647",Calcasieu,Early Learning Center III
Jack and Jill Head Start Center,"105 Murria Street 
Cullen, LA 71021",Webster,Early Learning Center III
Jack-N-Jill Day Care Center,"308 1st Street N. W. 
Springhill, LA 71075",Webster,Early Learning Center III
Jacob's Ladder II,"1117 Main Street 
Franklinton, LA 70438",Washington,Early Learning Center III
Jake Drost Head Start,"1100 North Crocker Street 
Sulphur , LA 70663",Calcasieu,Early Learning Center III
James Singleton Head Start/ EHS Center,"14441 Curran Road 
New Orleans, LA 70128",Orleans,Early Learning Center III
Jayla's Learning Center LLC #2,"2208 N. Sherwood Forest Blvd. 
Baton Rouge, LA 70815",East Baton Rouge,Early Learning Center III
Jazzie's Learning Academy,"216 South Bengal Road 
River Ridge, LA 70123",Jefferson,Early Learning Center III
JBC Caring & Learning Center,"32416 Walker N. Rd 
Walker, LA 70785",Livingston,Early Learning Center I
Jefferson Presbyterian Day School,"4450 Jefferson Highway 
Jefferson, LA 70121",Jefferson,Early Learning Center I
Jelly Bean Junction Inc.,"165 Rowland Road 
Monroe, LA 71203",Ouachita,Early Learning Center II
Jen's Infant and Toddler Center,"525 E. North Street 
Opelousas, LA 70570",St. Landry,Early Learning Center III
Jesus the Good Shepherd Catholic School,"900 Good Shepherd Lane 
Monroe, LA 71201",Ouachita,Early Learning Center I
Jewish Community Center Nursery School,"5342 St. Charles Avenue 
New Orleans , LA 70115",Orleans,Early Learning Center III
"Jinjer and Pickels,LLC","314 North Arenas Street 
Rayne, LA 70578",Acadia,Early Learning Center III
JMT's Les Petits Amis,"6039 Highway 1 
Napoleonville, LA 70390",Assumption,Early Learning Center II
Joan's Daycare & PreSchool,"1708 Carrollwood Dr 
LaPlace, LA 70068",St. John,Early Learning Center I
Joey Georgusis Center for Children,"615 City Park Avenue 
New Orleans, LA 70119",Orleans,Early Learning Center III
John Calvin Presbyterian Playschool,"4201 Transcontinental Dr 
Metairie, LA 70006",Jefferson,Early Learning Center I
John Curtis Development Center,"10931 Jefferson Highway 
River Ridge, LA 70123",Jefferson,Early Learning Center II
John W. Hoffman Early Learning Center,"2622 S. Prieur Street 
New Orleans, LA 70125",Orleans,Early Learning Center III
Johnnie L. Cochran Head Start,"1715 Cox Street 
Shreveport, LA 71108",Caddo,Early Learning Center III
Jolly Kids,"1004 East Judge Perez Drive 
Chalmette, LA 70043",St. Bernard,Early Learning Center III
Jolly Kids Academy,"4949 Bullard Ave Ste C 
New Orleans, LA 70128",Orleans,Early Learning Center III
Jones Kingdom Kids Daycare and Learning,"245 South Jamie Blvd 
Avondale , LA 70094",Jefferson,Early Learning Center III
JOY Early Learning Center,"17737 Old Jefferson Hwy 
Prairieville, LA 70769",Ascension,Early Learning Center II
Joyful Noises Childcare Center,"560 Highway 1207 
Deville, LA 71328",Rapides,Early Learning Center III
Jubilant Preschoolers,"1938 Dumaine St. 
New Orleans, LA 70116",Orleans,Early Learning Center III
"Jumpstart Academy, LLC","202 W. Fairfield Dr. 
Broussard, LA 70518",Lafayette,Early Learning Center II
JUMPSTART Child Development Center,"7700 Lake Forest Blvd 
New Orleans, LA 70126",Orleans,Early Learning Center III
Just 4 kidz LLC,"5845 Hearne Ave 
Shreveport, LA 71108",Caddo,Early Learning Center III
Just for Kids Daycare & Preschool #2,"405 West Canal Street 
Church Point, LA 70525",Acadia,Early Learning Center III
Just for Kids Daycare/Preschool,"838 West Cherry Street 
Opelousas, LA 70570",St. Landry,Early Learning Center III
Just for Kids Daycare/Preschool #3,"1405 Cajun Drive 
Mamou, LA 70554",Evangeline,Early Learning Center III
Just Kiddin Around,"40065 Macedonia Road 
Hammond, LA 70403",Tangipahoa,Early Learning Center III
"Just Like Home Child Care Three, LLC","4210 Old Baker Rd 
Zachary, LA 70791",East Baton Rouge,Early Learning Center III
Jutland Head Start,"1821 Jutland Drive 
Harvey, LA 70058",Jefferson,Early Learning Center III
Juz Us Childcare Development Center,"6650 Bowie Street 
Shreveport, LA 71108",Caddo,Early Learning Center III
Juz Us Childcare of Baton Rouge,"5956 Hooper Road 
Baton Rouge, LA 70811",East Baton Rouge,Early Learning Center III
Juz Us Childcare of Leesville,"812 Jeane Chapel Road 
Leesville, LA 71446",Vernon,Early Learning Center III
Juz Us Childcare of Natchitoches,"342 South Drive 
Natchitoches, LA 71457",Natchitoches,Early Learning Center III
K & K Christian Academy and Daycare,"6630 Siegen Lane Bldg 35 
Baton Rouge, LA 70809",East Baton Rouge,Early Learning Center III
K.I.D.S. Learning Center,"614 West 19th Avenue 
Covington, LA 70433",St. Tammany,Early Learning Center III
"Kaleidoscope The Learning Center, LLC","36374 Highway 74 
Geismar, LA 70734",Ascension,Early Learning Center I
Kangaroo's Pouch Daycare,"615 East C Street 
Rayne, LA 70578",Acadia,Early Learning Center II
Karelot Early Learning Center,"2743 Winsborro Road 
Monroe, LA 71202",Ouachita,Early Learning Center III
Kastle For Kids,"7788 Highway 28 East 
Pineville, LA 71360",Rapides,Early Learning Center III
Kate & Allie's Allie's Child Care Center Inc.,"106 Schlief Drive 
Belle Chasse, LA 70037",Plaquemines,Early Learning Center I
Kehoe-France Children Center,"717 Elise Avenue 
Metairie, LA 70003",Jefferson,Early Learning Center II
Kehoe-France Little Pioneers,"712 Elise Avenue 
Metairie, LA 70003",Jefferson,Early Learning Center II
Kehoe-France Northshore Children Center,"25 Patricia Drive 
Covington, LA 70433",St. Tammany,Early Learning Center II
Kelly Early Childhood Center,"3351 Highway 506 
Kelly, LA 71441",Caldwell,Early Learning Center III
Kennedy's Child Care Academy,"715 Franklin Street 
Gretna, LA 70053",Jefferson,Early Learning Center III
Kenner Head Start,"200 Decatur Street 
Kenner, LA 70062",Jefferson,Early Learning Center III
Kerris Early Education and  Development,"2001 Charles Drive 
Chalmette, LA 70043",St. Bernard,Early Learning Center II
KGR Academy,"1614 Bridge City Avenue 
Bridge City, LA 70094",Jefferson,Early Learning Center III
Kid City Daycare & Preschool,"420 Foreman Drive 
Lafayette, LA 70506",Lafayette,Early Learning Center III
Kid's Campus Childcare & Preschool,"1200 South Pointe Parkway 
Shreveport, LA 71105",Caddo,Early Learning Center I
Kid's Company,"2503 Meriwether Rd 
Shreveport, LA 71108",Caddo,Early Learning Center III
"Kid's Kingdom Academy and Daycare, LLC","2903-09 Tulane Avenue 
New Orleans, LA 70119",Orleans,Early Learning Center III
"Kid's Kingdom of Covington, LLC","1271 North Lee Road 
Covington, LA 70433",St. Tammany,Early Learning Center III
"Kid's Place Childcare, Inc.","1776 Heard Road 
Lake Charles, LA 70611",Calcasieu,Early Learning Center II
Kid's University Learning Center,"1824 Bonnie Ann 
Marrero, LA 70072",Jefferson,Early Learning Center III
Kid's World Childcare and Learning Academy,"2880 Hwy. 20 West 
Vacherie, LA 70090",St. James,Early Learning Center III
Kid's World Childcare Learning Center,"3800 Hodges Street 
Lake Charles, LA 70601",Calcasieu,Early Learning Center III
Kid's World of New Orleans,"3901 St. Claude Avenue 
New Orleans , LA 70117",Orleans,Early Learning Center III
Kidcam at St. Margaret,"12663 Perkins Road 
Baton Rouge, LA 70810",East Baton Rouge,Early Learning Center II
Kidcam Our Lady of Mercy,"400 Marquette Avenue 
Baton Rouge, LA 70806",East Baton Rouge,Early Learning Center II
Kiddee Korner Inc.,"4300 St. Ann Street 
New Oleans, LA 70119",Orleans,Early Learning Center II
Kiddie Castle LLC,"5322 Mansfield Road 
Shreveport, LA 71108",Caddo,Early Learning Center III
Kiddie City Day Camp,"1357 Airline Drive 
Bossier City, LA 71112",Bossier,Early Learning Center II
"Kiddie Garden Daycare & Preschool, Inc.","96 Lincoln Road 
Monroe, LA 71203",Ouachita,Early Learning Center III
"Kiddie Kids Daycare & Preschool, LLC","6142 St. Claude Ave 
New Orleans, LA 70117",Orleans,Early Learning Center II
Kiddie Land Learning Center,"900 Wildcat Drive 
Abbeville, LA 70510",Vermilion,Early Learning Center III
"Kiddie Palace Daycare, Inc.","260 Houston Street 
Simsboro, LA 71275",Lincoln,Early Learning Center I
"Kiddie World II, LLC","1060 LSU-E Drive 
Eunice, LA 70535",Acadia,Early Learning Center III
Kiddin Around Learning Center LLC,"2418 Westwood Rd 
Westlake, LA 70669",Calcasieu,Early Learning Center II
Kiddoscope,"615 East Airport Avenue 
Baton Rouge, LA 70806",East Baton Rouge,Early Learning Center III
Kidopolis Child Development Center,"127 Elk Place 
New Orleans , LA 70112",Orleans,Early Learning Center III
Kids & Company Pre K and Child Development,"13475 Carpenter Dr 
Walker, LA 70785",Livingston,Early Learning Center II
"Kids and Company of Baton Rouge, Inc","355 East Drive 
Baton Rouge, LA 70806",East Baton Rouge,Early Learning Center III
"Kids Are People Too, Inc.","17211 Old Jefferson Highway 
Prairieville, LA 70769",Ascension,Early Learning Center II
Kids Are Really Exceptional Daycare,"13343 Abraham Drive 
Baton Rouge, LA 70807",East Baton Rouge,Early Learning Center III
Kids Company CDC LLC,"5503 Airline Drive 
Bossier City, LA 71111",Caddo,Early Learning Center II
"Kids Count, Inc.","525 Rapides Street 
Baton Rouge, LA 70806",East Baton Rouge,Early Learning Center II
"Kids Excel, LLC","3424 Power Centre Parkway 
Lake Charles, LA 70607",Calcasieu,Early Learning Center III
Kids Haven Childcare,"23047 R Harper Road 
Robert, LA 70455",Tangipahoa,Early Learning Center III
Kids House of Learning,"711 Derbigny Street 
Gretna, LA 70053",Jefferson,Early Learning Center III
Kids in Motion Daycare Inc.,"11026 Laird Ln. 
Denham Springs, LA 70726",Livingston,Early Learning Center II
Kids Kampus Learning Center,"117 E. Genie St. 
Chalmette, LA 70043",St. Bernard,Early Learning Center III
Kids Kastle Christian Daycare,"3934 Common St 
Lake Charles, LA 70607",Calcasieu,Early Learning Center III
Kids of Distinction Christian Learning Academy,"944 Cambridge Drive Ste C 
Laplace, LA 70068",St. John,Early Learning Center III
Kids of Excellence Inc,"1415 Franklin Ave 
New Orleans, LA 70117",Orleans,Early Learning Center III
Kids of Excellence Learning Center,"3301 Higgins Blvd 
New Orleans, LA 70126",Orleans,Early Learning Center III
Kids on the Way Learning Center,"2665 Williamson Way 
Shreveport, LA 71118",Caddo,Early Learning Center I
Kids Only II Of Lafayette,"700 La Neuville Rd 
Lafayette, LA 70508",Lafayette,Early Learning Center III
Kids Only III of Lafayette,"224 Julian Circle 
Lafayette, LA 70507",Lafayette,Early Learning Center III
Kids Palace Inc,"14467 Denham Rd. 
Pride, LA 70770",East Baton Rouge,Early Learning Center III
"Kids Planet Learning Academy, Inc","121 Mulberry St 
Tallulah, LA 71282",Madison,Early Learning Center III
Kids R Kids Learning Center,"3132 Bert Kouns Industrial Loop 
Shreveport, LA 71118",Caddo,Early Learning Center III
Kids R Us Christian Center,"1111 TJ Simpson Loop 134B 
Oakdale, LA 71463",Allen,Early Learning Center III
Kids Under Construction,"205 Griffith Street 
Pineville, LA 71360",Rapides,Early Learning Center III
Kids Unlimited,"717 Winfield Road 
Haughton, LA 71037",Bossier,Early Learning Center III
Kids With Dreams Learning Center,"9015 Newcastle Drive 
Shreveport, LA 71129",Caddo,Early Learning Center III
Kids World Daycare and Early Learning Center,"15720 Belle Drive 
Hammond, LA 70403",Tangipahoa,Early Learning Center III
Kids' Corner Preschool and Kindergarten,"600 Jung Blvd. 
Marrero , LA 70072",Jefferson,Early Learning Center III
Kids' Cove Daycare & Learning Center,"12006 Coursey Blvd 
Baton Rouge, LA 70816",East Baton Rouge,Early Learning Center II
"Kids2College Academy, LLC","1420 Youree Drive 
Shreveport, LA 71101",Caddo,Early Learning Center III
Kidsville Early Learning Center,"1934 West Shore Ave 
Port Allen, LA 70767",West Baton Rouge,Early Learning Center III
Kidz Academy Christian Daycare,"20487 Highway 21 
Bogalusa, LA 70427",Washington,Early Learning Center I
Kidz Academy LLC,"116 Oak Lane Suite A 
Luling, LA 70070",St. Charles,Early Learning Center III
Kidz at Work of Destrehan LLC,"14078 River Road, Suite A 
Destrehan, LA 70047",St. Charles,Early Learning Center III
Kidz Connection Daycare and Youth Camp Inc,"12412 La Hwy 696 
Abbeville, LA 70510",Vermilion,Early Learning Center II
Kidz Karousel Academy East,"1581 Hwy 1088 
Mandeville, LA 70448",St. Tammany,Early Learning Center III
Kidz Karousel Academy Main,"1020 Main Street 
Baton Rouge, LA 70802",East Baton Rouge,Early Learning Center III
Kidz Karousel Academy North,"1106 Friendship Lane 
Zachary, LA 70791",East Baton Rouge,Early Learning Center III
Kidz Karousel Academy South,"37485 Ultima Plaza Blvd. 
Prairieville, LA 70769",Ascension,Early Learning Center III
Kidz Klub House Madisonville,"320 Hwy 1077 
Madisonville, LA 70447",St. Tammany,Early Learning Center III
Kidz Klub House Slidell,"688 E I-10 Service Road 
Slidell, LA 70461",St. Tammany,Early Learning Center III
Kidz Kuntry Childcare and Learning Center LLC,"701 E Miller Ave 
Iowa, LA 70647",Calcasieu,Early Learning Center III
Kidz N Harmony Daycare,"222 Mt. Harmony Road 
Ruston, LA 71270",Lincoln,Early Learning Center III
Kidz Zone,"9508  Hayne Blvd 
New Orleans, LA 70127",Orleans,Early Learning Center III
"Kinder Garden, LLC","41079 Highway 42 
Prairieville, LA 70769",Ascension,Early Learning Center II
Kinder Haus Montessori,"5201 W Napoleon Ave 
Metairie, LA 70001",Jefferson,Early Learning Center I
Kinder Haus Montessori,"252 Magnolia Street 
Mandeville, LA 70448",St. Tammany,Early Learning Center II
Kinder Kare Academy,"114 Star Court 
Houma, LA 70364",Terrebonne,Early Learning Center III
Kinder Kollege Learning Center,"537 Evangeline Trail 
Breaux Bridge, LA 70517",St. Martin,Early Learning Center I
KinderCare,"4630 Nelson Rd 
Lake Charles, LA 70605",Calcasieu,Early Learning Center III
KinderCare Learning Center,"11349 Greenwell Springs Road 
Baton Rouge, LA 70814",East Baton Rouge,Early Learning Center III
KinderCare Learning Center,"4435 Floynell Drive 
Baton Rouge, LA 70809",East Baton Rouge,Early Learning Center III
KinderCare Learning Center,"1188 O'Neal Lane 
Baton Rouge, LA 70816",East Baton Rouge,Early Learning Center III
Kindercare Learning Center  (Picardy),"7315 S. Picardy Ave 
Baton Rouge, LA 70808",East Baton Rouge,Early Learning Center III
Kingdom Early Learning Center,"6375A Winbourne Avenue 
Baton Rouge, LA 70805",East Baton Rouge,Early Learning Center I
Kingdom Kids Learning Academy,"45555 St Paul Loop 
Hammond, LA 70403",Tangipahoa,Early Learning Center III
Kingdom Kidz Daycare Center,"822 Weldon Street 
New Iberia, LA 70560",Iberia,Early Learning Center III
Kingsley House,"1600 Constance Street 
New Orleans, LA 70130",Orleans,Early Learning Center III
"Kollege Kamp, LLC","306 Pinegrove Drive 
Pineville, LA 71360",Rapides,Early Learning Center III
Kreative Kids Learning Academy,"1613 Nashville Ave 
Hammond, LA 70401",Tangipahoa,Early Learning Center III
"Krescent City Kids, LLC","329 South Dorgenois 
New Orleans, LA 70119",Orleans,Early Learning Center III
LA Delta Children's Center,"7500 Millhaven Road 
Monroe, LA 71203",Ouachita,Early Learning Center III
La Maison des Enfants,"41369 Bayou Narcisse Road 
Gonzales, LA 70737",Ascension,Early Learning Center II
La Petit Ecole Inc,"318 Albert Avenue 
Shreveport, LA 71105",Caddo,Early Learning Center II
La Petite Maison les Learning Center,"3649 Belle Vale Drive 
Addis, LA 70710",West Baton Rouge,Early Learning Center I
Labadieville Head Start,"3045 Hwy 1 
Labadieville, LA 70372",Assumption,Early Learning Center III
"LaBrie's Child Daycare, LLC","426 West Oak Street 
Ville Platte, LA 70586",Evangeline,Early Learning Center III
LaCarta Early Learning Academy,"1531 Green Oak Drive 
Baton Rouge, LA 70815",East Baton Rouge,Early Learning Center III
LaCarta Early Learning Academy 2 LLC,"1575 Green Oak Drive 
Baton Rouge, LA 70815",East Baton Rouge,Early Learning Center III
"Laci ABC Early Learning Center, LLC","101 Alida Street, Suite A 
Hammond, LA 70403",Tangipahoa,Early Learning Center III
Lacombe Mandeville Head Start,"60336 South 24th Street 
Lacombe, LA 70445",St. Tammany,Early Learning Center III
Lads and Lassies Academy,"13833 Perkins Road 
Baton Rouge, LA 70810",East Baton Rouge,Early Learning Center III
Lady Campbell's Faith Academy,"5005 East St. Bernard Hwy 
Violet, LA 70092",St. Bernard,Early Learning Center III
Lafourche Learning Academy,"1001 East 12th St. 
Thibodaux, LA 70301",Lafourche,Early Learning Center II
"Lagniappe Montessori and Children's Center, LLC","619 Lee Street 
Minden, LA 71055",Webster,Early Learning Center I
Lake Bethlehem Head Start,"2840 Martin Luther King Jr. Drive 
Shreveport, LA 71107",Caddo,Early Learning Center III
Lakeview Presbyterian Weekday School,"5915 Louis XIV Street 
New Orleans, LA 70124",Orleans,Early Learning Center I
Lapalco Head Start Birth to Five,"2001 Lincolnshire Drive 
Marrero, LA 70072",Jefferson,Early Learning Center III
LaPetite Nursery and  Preschool Prep,"1608 Hesiod Street 
Metairie, LA 70005",Jefferson,Early Learning Center I
